ascG	htpG	-
ascG	prpR	-
crp	kbaZ	+
crp	agaV	+
crp	azuC	-
crp	ykgR	+
crp	cyaR	+
crp	prpR	+
crp	prpE	+
crp	fiu	+
crp	lsrC	+
crp	lsrD	+
crp	zraS	+
crp	agp	+
crp	araA	+
crp	modC	+
crp	cirA	+
crp	modA	+
crp	zraR	+
crp	malK	+
crp	malY	-
crp	mtlA	+
crp	mtlD	+
crp	hofC	+
crp	rhaD	+
crp	mtlR	+
crp	hofB	+
crp	glpE	+
crp	tnaA	+
crp	trxA	-
crp	xseA	-
crp	yhfA	+
crp	melR	+
crp	glgS	+
crp	dadX	+
crp	entD	+
crp	fbaA	+
crp	fucA	+
crp	fucI	+
crp	fucR	+
crp	fucU	+
crp	gdhA	-
crp	glgA	+
crp	rhaS	+
crp	sfsA	+
crp	dksA	+
crp	dsdA	+
fucR	fucA	+
fucR	fucI	+
fucR	fucU	+
mtlR	mtlA	-
mtlR	mtlD	-
prpR	prpE	+
rhaS	rhaD	+
zraR	zraP	+
zraR	zraS	+
