dgsA	ptsI	-
dgsA	ynfK	-
dgsA	crr	-
dgsA	malT	-
dgsA	manX	-
dgsA	manY	-
dgsA	ptsG	-
dgsA	ptsH	-
dgsA	manZ	-
evgA	mdtF	+
evgA	emrY	+
evgA	ydeO	+
evgA	yneN	+
evgA	ydeP	+
evgA	yegR	+
evgA	emrK	+
evgA	frc	+
evgA	yfdX	+
evgA	mdtE	+
evgA	evgS	+
evgA	acrD	+
evgA	gadE	+
fruR	adhE	-
fruR	crr	-
fruR	manX	-
fruR	manY	-
fruR	manZ	-
fruR	pfkA	-
fruR	ptsH	+
fruR	ptsI	+
gadE	purA	+
gadE	fabZ	+
gadE	hdeA	+
gadE	hdeB	+
gadE	yhiD	+
gadE	gadB	+
gadE	hdeD	+
gadE	gltF	+
gadE	mdtE	+
gadE	mdtF	+
gadE	gadW	+
gadE	gadA	+
gadE	gadC	+
gadE	cadA	+
gadE	cadB	+
gadE	cyoA	+
gadE	cyoB	+
gadE	cyoC	+
gadE	cyoD	+
gadE	cyoE	+
gadE	lpxD	+
gadE	fliC	+
gadE	gltB	+
gadE	gltD	+
gadE	gnd	+
gadE	hlpA	+
gadE	lpxA	+
gadE	lrp	+
gadW	slp	+
gadW	mdtE	+
gadW	mdtF	+
gadW	gadA	-
gadW	gadY	+
gadW	gadC	-
gadW	hdeA	-
gadW	hdeB	-
gadW	yhiD	-
gadW	gadB	-
gadW	gadE	+
gadW	dctR	+
lrp	lhgO	+
lrp	alaT	-
lrp	alaU	-
lrp	alaV	-
lrp	gltT	-
lrp	gltU	-
lrp	gltV	-
lrp	gltW	-
lrp	ileT	-
lrp	ileU	-
lrp	ileV	-
lrp	micF	-
lrp	rrfA	-
lrp	rrfB	-
lrp	rrfC	-
lrp	rrfD	-
lrp	rrfE	-
lrp	rrfG	-
lrp	rrfH	-
lrp	rrlA	-
lrp	rrlB	-
lrp	rrlC	-
lrp	rrlD	-
lrp	rrlE	-
lrp	rrlG	-
lrp	rrlH	-
lrp	rrsA	-
lrp	rrsB	-
lrp	rrsC	-
lrp	rrsD	-
lrp	rrsE	-
lrp	rrsG	-
lrp	rrsH	-
lrp	rrfF	-
lrp	thrV	-
lrp	csiD	+
lrp	ilvX	-
lrp	adhE	-
lrp	aroA	+
lrp	fimA	+
lrp	fimC	+
lrp	fimD	+
lrp	fimE	+
lrp	fimF	+
lrp	fimG	+
lrp	fimH	+
lrp	gabT	+
lrp	gcvH	+
lrp	gltB	+
lrp	gltD	+
lrp	ilvA	-
lrp	ilvD	-
lrp	ilvE	-
lrp	ilvH	+
lrp	ilvI	+
lrp	ilvM	-
lrp	kbl	+
lrp	livF	-
lrp	livG	-
lrp	livH	-
lrp	livJ	-
lrp	livK	-
lrp	livM	-
lrp	lysU	-
lrp	malT	+
lrp	ompC	-
lrp	ompF	+
lrp	oppA	-
lrp	oppB	-
lrp	oppC	-
lrp	oppD	-
lrp	oppF	-
lrp	osmC	-
lrp	sdaA	-
lrp	serA	-
lrp	serC	+
lrp	tdh	+
lrp	argO	+
lrp	ilvL	-
lrp	gabD	+
lrp	gabP	+
lrp	osmY	-
lrp	hdeA	-
lrp	hdeB	-
lrp	yhiD	-
lrp	dadA	+
lrp	dadX	-
lrp	gcvT	+
lrp	gltF	+
lrp	stpA	+
lrp	gcvP	+
lrp	aidB	-
lrp	fimI	+
lrp	yeiL	+
lrp	yojI	+
malT	lamB	+
malT	malP	+
malT	malM	+
malT	malK	+
malT	malG	+
malT	malF	+
malT	malE	+
malT	malQ	+
malT	malZ	+
malT	malS	+
nagC	chbB	-
nagC	nanC	-
nagC	chbA	-
nagC	chbF	-
nagC	fimB	+
nagC	glmS	-
nagC	manX	-
nagC	manY	-
nagC	manZ	-
nagC	nagA	-
nagC	nagB	-
nagC	nagD	-
nagC	nagE	-
nagC	glmU	+
nagC	galP	-
nagC	chbG	-
nagC	nanM	-
nagC	chbC	-
rutR	gmr	-
rutR	rutA	-
rutR	rutB	-
rutR	rutC	-
rutR	rutD	-
rutR	rutE	-
rutR	rutF	-
rutR	rutG	-
rutR	gadW	-
rutR	fepB	-
rutR	carB	+
rutR	nemA	-
rutR	carA	+
stpA	bglB	-
stpA	bglF	-
stpA	bglG	-
ydeO	mdtF	+
ydeO	mdtE	+
ydeO	gadE	+
