kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.1910799834972409	0.08093139328633325	-0.5627740974967314	0.3928881887360152	0.1615730233393756	-0.008903971799227276	-0.02904968297093731	0.08687055441683546	-0.3439288387356261	0.5998851314663526
0.12932610805680964	0.37358128781093425	0.2057917421718978	-0.40247137037294706	-0.07479848166812997	-0.12916518275081224	-0.11425595023734259	-0.26905304944502245	-0.15210332671493854	-0.22337082293102173
-0.2449369116671437	0.2647462363834895	0.1539040563317184	-0.39133369758785785	0.1567565752925039	-0.013865125848483375	0.5718562418520933	-0.04027808477631103	0.17470618609184846	-0.012465430544028152
0.35806824875857474	0.16403708555700397	-0.07580193842676011	0.12063328517844782	-0.09646076124944787	0.15339425055599507	-0.22058421713507587	0.07805540208651135	0.31425563134413664	-0.0024078971129638865
0.09413856591679486	-0.05976949580759414	0.22613138338616998	-0.17777533019747002	-0.2271811054891694	0.08570288580223191	0.1856963666327617	-0.3551732569430565	0.2948193916396783	0.05027954080691497
-0.06733188495912674	0.12577190148434633	0.5544328866757505	-0.016236906367215795	0.062138890377862285	0.08028919805648468	0.08482337782158725	0.4785698035464997	0.10651458754105578	0.03836085282064448
-0.38553197883428775	-0.0906890022312442	0.21925699273737911	0.0710824974967087	-0.12495393518025213	-0.5880044853528883	-0.5257679718687865	0.2891542684063561	0.09678290953203197	-0.4080016898816167
0.012103156049121384	0.038609743994375806	0.29188852572527274	0.1280073878638143	0.3212292112493058	-0.13070108137239278	0.118734557492705	0.16325578444774658	0.2983193847517186	0.33321050078654735
0.13921709182516134	0.2860569779677079	0.18268363101543925	-0.1509271534378403	-0.5851698635498949	-0.21062814647626443	0.3795010132290932	-0.23715811621183056	-0.21738388450142787	-0.13297283618494646
0.055432666227768934	-0.2744871638958475	-0.3549432421840407	0.019961821510418483	-0.10399423572726724	0.5725654527645675	0.2971858016114812	0.2594370549844042	-0.2727518890038418	0.1838130906946004
